question,solution,final_answer
"Alice works two jobs. Her full-time job pays four times more than her part-time job, and together they pay 3800 dollars per month. Find how much her full-time job pays per month.","Step 1: Let's assume the amount of money Alice earns from her part-time job is x dollars per month.
Step 2: According to the problem, Alice's full-time job pays four times more than her part-time job. Therefore, her full-time job pays 4x dollars per month.
Step 3: The total amount of money Alice earns per month is the sum of her part-time job and her full-time job, which is x + 4x = 5x dollars.
Step 4: We know that the total amount of money Alice earns per month is 3800 dollars. So, we can set up the equation 5x = 3800.
Step 5: To find the value of x, we divide both sides of the equation by 5: x = 3800 / 5 = 760.
Step 6: Now, we can find how much Alice's full-time job pays per month by substituting the value of x back into the equation: 4x = 4 * 760 = 3040.
Step 7: Therefore, Alice's full-time job pays 3040 dollars per month.",3040
"Rita bought rice and truffles a grocery store, and she paid $67.5 more for truffles than she paid for the rice. Find the price of rice if the total bill was $72.","Step 1: Let's assume the price of rice is x dollars.
Step 2: According to the problem, Rita paid $67.5 more for truffles than she paid for rice. So, the price of truffles would be x + $67.5.
Step 3: The total bill was $72, which means the price of rice plus the price of truffles equals $72. So, x + (x + $67.5) = $72.
Step 4: Simplify the equation: 2x + $67.5 = $72.
Step 5: Subtract $67.5 from both sides of the equation: 2x = $72 - $67.5.
Step 6: Simplify the right side of the equation: 2x = $4.5.
Step 7: Divide both sides of the equation by 2: x = $4.5 / 2.
Step 8: Simplify the right side of the equation: x = $2.25.

Therefore, the price of rice is $2.25.",2.25
"Alice, Bob, and Charlie stand to inherit 12000 dollars, and the will stipulates that the inheritance is to be split in such a way that Bob gets two times more money than Alice, while Charlie should get 1600 dollars less than Alice. Find the inheritance amount for Alice.","Step 1: Let's assume the inheritance amount for Alice is x dollars.
Step 2: According to the given information, Bob gets two times more money than Alice, so Bob's inheritance amount is 2x dollars.
Step 3: Charlie should get 1600 dollars less than Alice, so Charlie's inheritance amount is (x - 1600) dollars.
Step 4: The total inheritance amount is the sum of the individual inheritance amounts, which is x + 2x + (x - 1600) = 12000 dollars.
Step 5: Simplifying the equation, we have 4x - 1600 = 12000.
Step 6: Adding 1600 to both sides of the equation, we get 4x = 13600.
Step 7: Dividing both sides of the equation by 4, we find x = 3400.
Step 8: Therefore, the inheritance amount for Alice is 3400 dollars.",3400
"Katy invested some money into bonds, and the amount of interest earned after one year was 25 times smaller than the original investment. Find the interest if the total amount in her account is $546.","Step 1: Let's assume the original investment amount as x dollars.
Step 2: According to the problem, the interest earned after one year is 25 times smaller than the original investment. So, the interest earned is (1/25) * x dollars.
Step 3: The total amount in Katy's account is the sum of the original investment and the interest earned, which is x + (1/25) * x = (26/25) * x dollars.
Step 4: We are given that the total amount in Katy's account is $546. So, (26/25) * x = 546.
Step 5: To find the value of x, we can multiply both sides of the equation by (25/26): (25/26) * (26/25) * x = (25/26) * 546.
Step 6: Simplifying, we get x = 525.
Step 7: Now, to find the interest earned, we can substitute the value of x back into the expression (1/25) * x: (1/25) * 525 = 21 dollars.
Step 8: Therefore, the interest earned by Katy is $21.",21
"An ¨¦clair has five times as many calories as a latte, and together they have 264 calories. Find how many calories an ¨¦clair has.","Step 1: Let's assume the number of calories in a latte is x.
Step 2: According to the problem, an ¨¦clair has five times as many calories as a latte, so the number of calories in an ¨¦clair is 5x.
Step 3: The total number of calories in an ¨¦clair and a latte together is given as 264 calories, so we can write the equation: x + 5x = 264.
Step 4: Simplifying the equation, we get 6x = 264.
Step 5: To solve for x, divide both sides of the equation by 6: x = 264/6 = 44.
Step 6: Now, substitute the value of x back into the equation to find the number of calories in an ¨¦clair: 5x = 5 * 44 = 220.
Step 7: Therefore, an ¨¦clair has 220 calories.",220
The width of a rectangular parking lot is 40 feet shorter than its length. Find the width of the lot if its perimeter is 640 feet.,"Step 1: Let's assume the length of the rectangular parking lot is ""x"" feet.
Step 2: According to the problem, the width of the parking lot is 40 feet shorter than its length, so the width can be represented as ""x - 40"" feet.
Step 3: The perimeter of a rectangle is given by the formula P = 2(length + width). In this case, the perimeter is 640 feet, so we can write the equation as 640 = 2(x + x - 40).
Step 4: Simplify the equation: 640 = 2(2x - 40).
Step 5: Distribute the 2 on the right side of the equation: 640 = 4x - 80.
Step 6: Move the constant term to the left side of the equation: 640 + 80 = 4x.
Step 7: Combine like terms: 720 = 4x.
Step 8: Divide both sides of the equation by 4 to solve for x: x = 720/4.
Step 9: Simplify: x = 180.
Step 10: The length of the parking lot is 180 feet.
Step 11: Substitute the value of x into the expression for the width: width = x - 40 = 180 - 40.
Step 12: Calculate the width: width = 140 feet.
Therefore, the width of the rectangular parking lot is 140 feet.",140
"Consider an astronomical triangle with sides a, b, and c, such that the length of the side b is 3 light-years longer the length of a, and the length of c is 6 times shorter than the length of a. Find the length of side a if the perimeter of the triangle is 55 light-years.","Step 1: Let's assume the length of side a as ""x"" light-years.
Step 2: According to the problem, the length of side b is 3 light-years longer than side a, so the length of side b is (x + 3) light-years.
Step 3: The length of side c is 6 times shorter than side a, so the length of side c is (x/6) light-years.
Step 4: The perimeter of the triangle is the sum of the lengths of all three sides, which is given as 55 light-years. So, we can write the equation: x + (x + 3) + (x/6) = 55.
Step 5: Simplify the equation: 6x + 6(x + 3) + x = 330.
Step 6: Expand and combine like terms: 6x + 6x + 18 + x = 330.
Step 7: Combine like terms: 13x + 18 = 330.
Step 8: Subtract 18 from both sides: 13x = 312.
Step 9: Divide both sides by 13: x = 24.
Step 10: Therefore, the length of side a is 24 light-years.",24
A monthly pass for light rail is 1.2 times cheaper than the a bundle with 20 day passes. Find the price of the monthly pass if the bundle costs $10 more than the monthly pass.,"Step 1: Let's assume the price of the monthly pass is x dollars.
Step 2: According to the given information, the bundle with 20 day passes costs $10 more than the monthly pass. So, the price of the bundle is x + $10.
Step 3: It is stated that the monthly pass is 1.2 times cheaper than the bundle. Therefore, the price of the monthly pass is 1.2 times less than the price of the bundle, which can be expressed as 1.2(x + $10).
Step 4: To find the price of the monthly pass, we need to solve the equation 1.2(x + $10) = x.
Step 5: Distribute 1.2 to both terms inside the parentheses: 1.2x + 1.2($10) = x.
Step 6: Multiply 1.2 by $10: 1.2x + $12 = x.
Step 7: Subtract x from both sides of the equation: 1.2x - x + $12 = 0.
Step 8: Simplify the equation: 0.2x + $12 = 0.
Step 9: Subtract $12 from both sides of the equation: 0.2x = -$12.
Step 10: Divide both sides of the equation by 0.2 to solve for x: x = -$12 / 0.2.
Step 11: Calculate the value of x: x = -$60.
Step 12: Since the price cannot be negative, we disregard the negative value. Therefore, the price of the monthly pass is $60.",50
"A bread recipe calls for a mix of bleached flour, whole wheat flour, and rye flour. The volume of whole wheat should be two times greater than the volume of bleached, and the volume of rye should be 1 cup less than the volume of bleached. Find the volume in cups for bleached flour if the recipe is asking for 15 cups of flour in total.","Step 1: Let's assume the volume of bleached flour as x cups.
Step 2: According to the problem, the volume of whole wheat flour should be two times greater than the volume of bleached flour. So, the volume of whole wheat flour is 2x cups.
Step 3: The volume of rye flour should be 1 cup less than the volume of bleached flour. So, the volume of rye flour is (x - 1) cups.
Step 4: The total volume of flour required is given as 15 cups.
Step 5: Set up the equation: x + 2x + (x - 1) = 15.
Step 6: Simplify the equation: 4x - 1 = 15.
Step 7: Add 1 to both sides of the equation: 4x = 16.
Step 8: Divide both sides of the equation by 4: x = 4.
Step 9: Therefore, the volume of bleached flour required is 4 cups.",4
The number 21 is what percent of 70?,"Step 1: Identify the given numbers, which are 21 and 70.
Step 2: Set up the equation: Let x be the unknown percentage. Then, x% of 70 is equal to 21.
Step 3: Write the equation: x% * 70 = 21.
Step 4: Convert the percentage to a decimal by dividing x by 100: (x/100) * 70 = 21.
Step 5: Simplify the equation: 0.7x = 21.
Step 6: Solve for x by dividing both sides of the equation by 0.7: x = 21 / 0.7.
Step 7: Calculate the value of x: x = 30.
Step 8: The number 21 is 30% of 70.",30
The number 330 is 120% of what number?,"Step 1: Let's assume the unknown number as ""x"".
Step 2: Write the equation: 330 = 120% of x.
Step 3: Convert the percentage to a decimal by dividing it by 100: 120/100 = 1.2.
Step 4: Rewrite the equation: 330 = 1.2 * x.
Step 5: Divide both sides of the equation by 1.2 to isolate the variable: 330/1.2 = x.
Step 6: Calculate the value of x: x = 275.
Step 7: Therefore, the number 330 is 120% of 275.",275
A department store puts up shirts on sale at 35% discount. Find the original price of a shirt before the discount if the new price is $26.,"Step 1: Let's assume the original price of the shirt before the discount is ""x"" dollars.
Step 2: Apply the 35% discount to the original price by multiplying it by (1 - 0.35) or 0.65.
Step 3: Calculate the new price of the shirt by multiplying the original price by the discount factor: 0.65x = $26.
Step 4: Solve the equation for x by dividing both sides by 0.65: x = $26 / 0.65.
Step 5: Simplify the expression on the right side to find the original price: x ¡Ö $40.",40
"A fast food chain raised the price of the beef burger from $5 to $6, and lowered the price of the chicken burger from $6 to $5. Find the percent increase for the price of the beef burger.","Step 1: Identify the original price of the beef burger, which is $5.
Step 2: Identify the new price of the beef burger, which is $6.
Step 3: Calculate the difference between the new price and the original price: $6 - $5 = $1.
Step 4: Calculate the percent increase by dividing the difference by the original price and multiplying by 100: ($1 / $5) * 100 = 20%.
Step 5: The percent increase for the price of the beef burger is 20%.",20
Suzy earned $208 in tips after 20% income tax. What was her pre-tax income?,"Step 1: Let's assume Suzy's pre-tax income as ""x"".
Step 2: Calculate the amount of income tax by multiplying the pre-tax income (x) by 20%: 0.2x.
Step 3: Subtract the income tax from the pre-tax income to find the amount of tips Suzy earned: x - 0.2x = 0.8x.
Step 4: Set up an equation to represent the given information: 0.8x = $208.
Step 5: Solve the equation for x by dividing both sides by 0.8: x = $208 / 0.8.
Step 6: Calculate the value of x to find Suzy's pre-tax income: x = $260.",260
"A department store puts dresses up for sale at 30% discount. If the discounted price of a dress is $42, what was the original price before the discount?","Step 1: Let's assume the original price of the dress before the discount is ""x"" dollars.
Step 2: We know that the dress is being sold at a 30% discount, which means the discounted price is 70% of the original price.
Step 3: We can set up an equation: 70% of x = $42.
Step 4: To solve for x, we need to convert 70% to decimal form by dividing it by 100: 0.70x = $42.
Step 5: Divide both sides of the equation by 0.70 to isolate x: x = $42 / 0.70.
Step 6: Evaluating the right side of the equation, we find that x = $60.
Step 7: Therefore, the original price of the dress before the discount was $60.",60
Alice invested $1230 into a savings account with 1.4% monthly interest rate. What is the balance in the account after one month?,"Solution:
Step 1: Identify the initial amount of money invested, which is $1230.
Step 2: Understand that the monthly interest rate is 1.4%.
Step 3: Calculate the interest earned in one month by multiplying the initial amount by the monthly interest rate: $1230 * 1.4% = $17.22.
Step 4: Add the interest earned to the initial amount to find the balance after one month: $1230 + $17.22 = $1247.22.
Step 5: The balance in the account after one month is $1247.22.",1247.22
"Brent paid $5824 for a car, and this price included the 4% sales tax. How much did the car cost before the sales tax was applied?","Step 1: Identify the total amount Brent paid for the car, which is $5824.
Step 2: Understand that the total amount includes a 4% sales tax.
Step 3: Calculate the sales tax amount by multiplying the total amount by 4%: $5824 * 4% = $232.96.
Step 4: Subtract the sales tax amount from the total amount to find the cost of the car before the sales tax was applied: $5824 - $232.96 = $5591.04.
Step 5: The car cost $5591.04 before the sales tax was applied.",5600
Roger paid $238 for a webcam during a 15%-off sale. Find the original price of the webcam.,"Step 1: Identify the amount paid by Roger for the webcam, which is $238.
Step 2: Understand that the webcam was purchased during a 15%-off sale.
Step 3: Calculate the original price of the webcam by dividing the amount paid by (1 - 15%).
Step 4: The original price of the webcam is $238 / (1 - 0.15).",280
Ivan can grade 25 quizzes per hour. Find how many quizzes Ivan can grade in 4 hours.,"Step 1: Identify the number of quizzes Ivan can grade per hour, which is 25 quizzes.
Step 2: Understand that Ivan will be grading for 4 hours.
Step 3: Multiply the number of quizzes Ivan can grade per hour (25 quizzes) by the number of hours (4 hours).
Step 4: The total number of quizzes Ivan can grade in 4 hours is 25 quizzes/hour * 4 hours = 100 quizzes.",100
Taylor makes 18 dollars per hour at her job. Find how many dollars Taylor earns in 3.5 hours.,"Step 1: Identify Taylor's hourly wage, which is $18 per hour.
Step 2: Understand that Taylor worked for 3.5 hours.
Step 3: Multiply Taylor's hourly wage by the number of hours worked: $18/hour * 3.5 hours = $63.
Step 4: Taylor earns $63 in 3.5 hours.",63
Uri can walk 7 km in 2 hours. Find how many kilometers Uri can walk per hour.,"Step 1: Identify the distance Uri can walk, which is 7 km, and the time it takes, which is 2 hours.
Step 2: Understand that the rate of walking is calculated by dividing the distance by the time.
Step 3: Divide the distance of 7 km by the time of 2 hours to find the rate of walking per hour.
Step 4: The rate of walking per hour is 7 km / 2 hours = 3.5 km/h.",3.5
"Apu takes the express train from Springfield to Capital City, and a regular train on his way back from Capital City to Springfield. The express completes the trip in 4 hours 30 minutes, while the regular train covers the same distance in 6 hours. Find the speed of the express, in miles per hour, if the express runs 15 miles per hour faster.","Step 1: Convert the time taken by the express train from hours and minutes to hours. 4 hours 30 minutes is equal to 4.5 hours.
Step 2: Convert the time taken by the regular train from hours to hours. 6 hours remains the same.
Step 3: Let the speed of the express train be represented by x miles per hour.
Step 4: The speed of the regular train is x - 15 miles per hour, as it runs 15 miles per hour slower than the express train.
Step 5: Use the formula speed = distance / time to find the distance covered by both trains. 
Step 6: For the express train, distance = speed * time = x * 4.5 miles.
Step 7: For the regular train, distance = speed * time = (x - 15) * 6 miles.
Step 8: Since both trains cover the same distance, we can set up the equation x * 4.5 = (x - 15) * 6.
Step 9: Solve the equation for x. Distribute and simplify: 4.5x = 6x - 90.
Step 10: Subtract 6x from both sides: 4.5x - 6x = -90.
Step 11: Combine like terms: -1.5x = -90.
Step 12: Divide both sides by -1.5: x = -90 / -1.5.
Step 13: Simplify: x = 60.
Step 14: The speed of the express train is 60 miles per hour.",60
"Kay and July are opening the incoming mail together, with the goal of processing 400 envelopes. Find how many hours they need to complete the task if Kay can process 15 envelopes per hour, and July can process 35 envelopes per hour.","Step 1: Identify the number of envelopes Kay can process per hour, which is 15 envelopes.
Step 2: Identify the number of envelopes July can process per hour, which is 35 envelopes.
Step 3: Calculate the total number of envelopes both Kay and July can process per hour by adding their individual rates: 15 envelopes + 35 envelopes = 50 envelopes per hour.
Step 4: Divide the total number of envelopes that need to be processed (400 envelopes) by the combined rate of Kay and July (50 envelopes per hour) to find the number of hours needed to complete the task: 400 envelopes ¡Â 50 envelopes per hour = 8 hours. 
Step 5: Therefore, it will take Kay and July 8 hours to complete processing 400 envelopes.",8
"One morning Aristotle starts walking from Athens to Megara, and at the same time Socrates starts on a journey from Megara to Athens. Being younger, Aristotle is walking 1.8 times faster than Socrates. After a 5 hour journey, they meet somewhere in the middle of the way. Find the speed of Aristotle, in km per hour, if the total distance between Athens and Megara is 42 km.","Step 1: Let's assume the speed of Socrates is x km/h. 
Step 2: Since Aristotle is walking 1.8 times faster than Socrates, his speed would be 1.8x km/h. 
Step 3: After 5 hours, Socrates would have traveled 5x km, and Aristotle would have traveled 5(1.8x) km. 
Step 4: Since they meet somewhere in the middle, the total distance traveled by both of them would be half of the total distance between Athens and Megara, which is 42/2 = 21 km. 
Step 5: Therefore, the equation would be 5x + 5(1.8x) = 21. 
Step 6: Simplifying the equation, we get 5x + 9x = 21. 
Step 7: Combining like terms, we get 14x = 21. 
Step 8: Dividing both sides of the equation by 14, we get x = 1.5. 
Step 9: So, the speed of Socrates is 1.5 km/h. 
Step 10: To find the speed of Aristotle, we multiply his speed by 1.8, which gives us 1.8 * 1.5 = 2.7 km/h. 
Step 11: Therefore, the speed of Aristotle is 2.7 km/h.",5.4
The top speed of a bullet train is 210 km per hour. Find how many hours it takes to travel 168 km at top speed.,"Step 1: Identify the top speed of the bullet train, which is 210 km per hour.
Step 2: Understand that we need to find the number of hours it takes to travel 168 km at the top speed.
Step 3: Divide the distance of 168 km by the top speed of 210 km per hour to find the number of hours.
Step 4: The number of hours it takes to travel 168 km at the top speed is 168 km / 210 km per hour = 0.8 hours.",0.8
A standard computer hard drive rotates at 5400 revolutions per minute. Find the number of revolutions over 10 seconds.,"Step 1: Identify the number of revolutions per minute for the computer hard drive, which is 5400 revolutions.
Step 2: Understand that there are 60 seconds in a minute.
Step 3: Divide the number of revolutions per minute by 60 to find the number of revolutions per second. 5400 revolutions / 60 seconds = 90 revolutions per second.
Step 4: Multiply the number of revolutions per second by 10 to find the number of revolutions over 10 seconds. 90 revolutions per second * 10 seconds = 900 revolutions. 
Step 5: The number of revolutions over 10 seconds for the computer hard drive is 900 revolutions.",900
Eve typed up a 4050 word document over two and a half hours. Find Eve¡¯s typing rate in words per minute.,"Step 1: Convert the time from hours to minutes. Since there are 60 minutes in an hour, multiply the number of hours by 60. In this case, 2.5 hours * 60 = 150 minutes.
Step 2: Divide the total number of words typed (4050) by the number of minutes it took (150) to find the typing rate in words per minute. 4050 words / 150 minutes = 27 words per minute.
Step 3: Therefore, Eve's typing rate is 27 words per minute.",27
Jamie charges $80 per hour for her paralegal work. Find how many hours she has to work in order to earn $2000.,"Step 1: Identify the hourly rate Jamie charges for her paralegal work, which is $80 per hour.
Step 2: Understand that Jamie wants to earn $2000.
Step 3: Divide the total amount Jamie wants to earn ($2000) by her hourly rate ($80) to find the number of hours she needs to work.
Step 4: $2000 ¡Â $80 = 25 hours.
Step 5: Jamie needs to work 25 hours in order to earn $2000.",25
It takes Bongo two and a half hours to mow the front lawn. Find how many times he can mow the same lawn in 40 hours.,"Step 1: Identify the time it takes Bongo to mow the front lawn, which is two and a half hours.
Step 2: Understand that Bongo wants to know how many times he can mow the same lawn in 40 hours.
Step 3: Divide the total time available (40 hours) by the time it takes to mow the lawn (2.5 hours) to find the number of times he can mow the lawn.
Step 4: Calculate 40 hours ¡Â 2.5 hours = 16.
Step 5: Bongo can mow the same lawn 16 times in 40 hours.",16
"Alice paddled for 3 hours upstream and then for 2 hours downstream. When going downstream, her speed was 10 mph greater than her speed when going upstream. The total distance traveled was 30 miles. How fast did Alice travel upstream, in mph?","Step 1: Let's assume Alice's speed when going upstream is x mph.
Step 2: Since Alice's speed when going downstream is 10 mph greater than her speed when going upstream, her speed when going downstream is (x + 10) mph.
Step 3: The total time spent paddling upstream is 3 hours, so the distance traveled upstream is 3x miles.
Step 4: The total time spent paddling downstream is 2 hours, so the distance traveled downstream is 2(x + 10) miles.
Step 5: The total distance traveled is 30 miles, so the sum of the distances traveled upstream and downstream is 3x + 2(x + 10) = 30 miles.
Step 6: Simplify the equation: 3x + 2x + 20 = 30.
Step 7: Combine like terms: 5x + 20 = 30.
Step 8: Subtract 20 from both sides: 5x = 10.
Step 9: Divide both sides by 5: x = 2.
Step 10: Therefore, Alice traveled upstream at a speed of 2 mph.",2
"Ridwan can plant 4 trees per hour, and Sue can plant 5.5 trees per hour. Find how many hours they need to plant 285 trees, if they are working together.","Step 1: Identify the number of trees Ridwan can plant per hour, which is 4 trees.
Step 2: Identify the number of trees Sue can plant per hour, which is 5.5 trees.
Step 3: Determine the combined rate at which Ridwan and Sue can plant trees per hour, which is 4 trees + 5.5 trees = 9.5 trees.
Step 4: Divide the total number of trees that need to be planted, which is 285 trees, by the combined rate of planting per hour, which is 9.5 trees.
Step 5: Calculate the number of hours needed to plant all the trees by dividing 285 trees by 9.5 trees per hour.
Step 6: The number of hours needed to plant 285 trees when Ridwan and Sue are working together is the result of the division in Step 5.",30
"A passenger and a freight train start toward each other at the same time from two points 300 miles apart. If the rate of the passenger train exceeds the rate of the freight train by 15 miles per hour, and they meet after 4 hours, what must the rate of the passenger be, in miles per hour?","Step 1: Let's assume the rate of the freight train is x miles per hour.
Step 2: Since the rate of the passenger train exceeds the rate of the freight train by 15 miles per hour, the rate of the passenger train is x + 15 miles per hour.
Step 3: The total distance traveled by both trains is 300 miles, and they meet after 4 hours. Therefore, the combined distance traveled by both trains is (x + x + 15) * 4 = 300 miles.
Step 4: Simplifying the equation, we get 8x + 60 = 300.
Step 5: Subtracting 60 from both sides of the equation, we get 8x = 240.
Step 6: Dividing both sides of the equation by 8, we get x = 30.
Step 7: Therefore, the rate of the freight train is 30 miles per hour.
Step 8: The rate of the passenger train is x + 15 = 30 + 15 = 45 miles per hour.
Step 9: The rate of the passenger train must be 45 miles per hour.",45
"Lab 1 can process blood samples 3 times faster than Lab 2. Working together, the two labs can process 84 samples over 7 days. Find the rate of work for Lab 1, in samples per day.","Step 1: Let's assume the rate of work for Lab 2 is x samples per day.
Step 2: Since Lab 1 can process blood samples 3 times faster than Lab 2, the rate of work for Lab 1 is 3x samples per day.
Step 3: Working together, the two labs can process 84 samples over 7 days, which means they can process 12 samples per day (84 samples / 7 days).
Step 4: The combined rate of work for Lab 1 and Lab 2 is (3x + x) samples per day, which is 4x samples per day.
Step 5: Set up an equation: 4x = 12.
Step 6: Solve the equation for x: x = 12 / 4 = 3.
Step 7: Therefore, the rate of work for Lab 1 is 3x = 3 * 3 = 9 samples per day.",9
"Two automobiles started at the same time from a point, but traveled in opposite directions. Their rates were 25 and 35 miles per hour respectively. After how many hours were they 180 miles apart?","Step 1: Identify the rates of the two automobiles, which are 25 miles per hour and 35 miles per hour respectively.
Step 2: Understand that the two automobiles are traveling in opposite directions.
Step 3: Add the rates of the two automobiles to find their combined rate, which is 25 miles per hour + 35 miles per hour = 60 miles per hour.
Step 4: Use the formula distance = rate ¡Á time to find the time it takes for the two automobiles to be 180 miles apart. Let's denote the time as ""t"".
Step 5: Set up the equation 180 miles = 60 miles per hour ¡Á t.
Step 6: Solve the equation for ""t"" by dividing both sides by 60 miles per hour: t = 180 miles / 60 miles per hour.
Step 7: Simplify the expression: t = 3 hours.
Step 8: After 3 hours, the two automobiles will be 180 miles apart.",3
